Name,Price,Release Date,Publisher,Developer,Percent Positive Reviews (30 days),Total Number Reviews (30 days),PerPosRevAT,Total Number Reviews (All Time),Genere(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Melvor Idle, 19.99 ,11/19/2020,"Malcs,","Malcs,",96,118,93,2242,"Casual, Idler, RPG, Indie, Early Access, Adventure, Singleplayer, Mining, 2D, Cartoon, Colorful, Minimalist, Fantasy, Demons, Magic, Point & Click, Combat, Automation, Crafting, Fishing,",200 MB available space,1,1,1
Night in the Woods, 39.99 ,2/21/2017,"Finji,","Infinite Fall,",97,112,94,10651,"Story Rich, Atmospheric, Great Soundtrack, Adventure, Indie, Female Protagonist, Singleplayer, 2D, Cute, Mystery, Exploration, Colorful, Funny, Drama, Platformer, Side Scroller, Psychological Horror, Walking Simulator, LGBTQ+, Choices Matter,",8 GB available space,1,1,1
Valkyria Chronicles Bundle, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Prison Architect, 89.97 ,10/6/2015,"Paradox Interactive,","Double Eleven, Introversion Software,",84,449,91,47334,"Simulation, Building, Sandbox, Strategy, Base Building, Colony Sim, Management, City Builder, 2D, Top-Down, Economy, Resource Management, Capitalism, Funny, Moddable, Singleplayer, Multiplayer, Replay Value, Indie, Casual,",N/A,1,1,1
Jurassic World Evolution, 261.81 ,6/12/2018,"Frontier Developments,","Frontier Developments,",92,396,85,40405,"Building, Dinosaurs, Simulation, Management, Strategy, Sandbox, Singleplayer, City Builder, Sci-fi, Economy, Resource Management, Open World, Violent, Atmospheric, Action, Survival, Multiplayer, Great Soundtrack, Casual, Adventure,",8 GB available space,0,1,0
Borderlands 2 VR, 49.99 ,10/22/2019,"2K,","Gearbox Software,",N/A,N/A,67,648,"Action, RPG, VR, Gore, Violent, Sexual Content, FPS, Sci-fi, Loot,",5 GB available space,0,1,0
Sid Meier's Civilization®: Beyond Earth™, 39.99 ,10/23/2014,"2K, Aspyr (Mac), Aspyr (Linux),","Firaxis Games, Aspyr (Mac), Aspyr (Linux),",81,54,58,12346,"Strategy, Turn-Based Strategy, Sci-fi, Space, 4X, Turn-Based, Multiplayer, Futuristic, Singleplayer, Aliens, Tactical, Hex Grid, Grand Strategy, Replay Value, Exploration, Atmospheric, Adventure, Moddable, Simulation, Action,",8 GB available space,1,1,1
SCARLET NEXUS, 19.99 ,6/24/2021,"BANDAI NAMCO Entertainment,","BANDAI NAMCO Studios Inc.,",88,348,85,5840,"Action, RPG, Adventure, Anime, Action RPG, Sci-fi, JRPG, Action-Adventure, Combat, Character Action Game, Open World, Fighting, Interactive Fiction, Strategy RPG, Fantasy, Futuristic, CRPG, Character Customization, Singleplayer, Post-apocalyptic,",50 GB available space,0,1,0
Kingdom Two Crowns, 19.99 ,12/11/2018,"Raw Fury,","Stumpy🐙Squid, Fury Studios, Coatsink,",96,155,89,7122,"Strategy, Adventure, Indie, Pixel Graphics, Simulation, Colony Sim, Co-op, Multiplayer, Base Building, 2D, Local Co-Op, Survival, Tower Defense, Side Scroller, Great Soundtrack, Online Co-Op, Fantasy, Medieval, Singleplayer, Atmospheric,",4 GB available space,1,1,1
Animalia Survival, 19.99 ,9/9/2021,"High Brazil Studio,","High Brazil Studio,",N/A,N/A,65,295,"Simulation, Nature, Realistic, Early Access, Survival, Third Person, Open World, Adventure, Massively Multiplayer, Hunting, Multiplayer, PvP, Cinematic, Singleplayer, Co-op, PvE, 3D, Post-apocalyptic, Action, Online Co-Op,",5 GB available space,0,1,0
Dorfromantik, 44.99 ,3/25/2021,"Toukana Interactive,","Toukana Interactive,",95,240,96,7851,"Early Access, Casual, Relaxing, Puzzle, Strategy, Cute, City Builder, Soundtrack, Indie, Board Game, Turn-Based Strategy, Colorful, 3D, Family Friendly, Atmospheric, Singleplayer, Turn-Based Tactics, Minimalist, Hand-drawn, Top-Down,",500 MB available space,0,1,0
Despot's Game: Supporter Edition, 22.98 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
We Were Here Together, 53.96 ,10/10/2019,"Total Mayhem Games,","Total Mayhem Games,",85,120,86,5886,"Online Co-Op, Puzzle, Adventure, Co-op, Horror, Investigation, Multiplayer, Story Rich, First-Person, Co-op Campaign, Atmospheric, Psychological Horror, Mystery, Dark, Casual, Linear, Indie, Exploration, Action-Adventure, Drama,",20 GB available space,1,1,0
The Jackbox Party Pack, 29.99 ,11/26/2014,"Jackbox Games, Inc.,","Jackbox Games, Inc.,",10,14,91,1170,"Casual, Trivia, Party, Local Multiplayer, Funny, Indie, Strategy, Multiplayer, Comedy, Party Game, Board Game, Co-op, Family Friendly, 4 Player Local, Local Co-Op,",650 MB available space,1,1,1
DUSK, 39.99 ,12/10/2018,"New Blood Interactive,","David Szymanski,",98,166,98,12021,"FPS, Retro, Fast-Paced, Shooter, Horror, Lovecraftian, Old School, First-Person, 1990's, Great Soundtrack, Dark Humor, Action, Classic, Singleplayer, Atmospheric, Level Editor, Arena Shooter, PvP, Blood, Bullet Time,",2 GB available space,1,1,1
Medal of Honor™: Above and Beyond, 59.99 ,12/10/2020,"Electronic Arts,","Respawn Entertainment,",58,34,63,1505,"Action, VR, First-Person, Wargame, Singleplayer, World War II, War, Action-Adventure, Open World, Multiplayer, Gore, Action Roguelike, Violent, Action RPG, FPS, Shooter, Historical,",180 GB available space,0,1,0
SURV1V3, 29.99 ,6/20/2021,"Candymakers,","Candymakers,",65,47,82,1110,"Zombies, VR, Action, Indie, Adventure, Simulation, Co-op, Gore, Violent, Multiplayer, Horror, Online Co-Op, Co-op Campaign, Survival, FPS,",45 GB available space,0,1,0
American Truck Simulator Enchanted Bundle, 30.05 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
South Park™: The Stick of Truth™, 59.99 ,3/3/2014,"Ubisoft,","Obsidian Entertainment,",98,347,97,36155,"RPG, Comedy, Adventure, Funny, Turn-Based, Dark Humor, Singleplayer, Action, Mature, 2D, Satire, Nudity, Cartoon, Open World, Story Rich, Fantasy, Epic, Turn-Based Strategy, Zombies, JRPG,",6 GB available space,0,1,0
No Umbrellas Allowed, 14.99 ,9/3/2021,"Hoochoo Game Studios,","Hoochoo Game Studios,",87,63,80,642,"Simulation, Indie, Strategy, Pixel Graphics, Choices Matter, Singleplayer, Management, Dystopian , Story Rich, 2D, Puzzle, Multiple Endings,",1 GB available space,1,1,0
Impostor Factory, 29.99 ,9/30/2021,"Freebird Games,","Freebird Games,",N/A,N/A,96,3952,"Indie, Adventure, Story Rich, Pixel Graphics, Great Soundtrack, RPG, Emotional, Singleplayer, Atmospheric, Mystery, Psychological Horror, RPGMaker, Dark Comedy, Horror, Psychological, Thriller, Comedy, Visual Novel,",500 MB available space,1,1,1
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto, 50 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Shogun 2 Collection, 59.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Fallout 4 Season Pass, 49.94 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Stream Avatars, 34.99 ,7/26/2017,"Travis Miller,","Travis Miller,",97,38,96,929,"Animation & Modeling, Video Production, Utilities, Design & Illustration, Audio Production, Web Publishing, Funny, Software,",1 GB available space,1,1,0
Microsoft Flight Simulator X: Steam Edition, 24.99 ,10/16/2006,"Xbox Game Studios,","Microsoft Game Studios,",90,162,85,18448,"Flight, Simulation, Realistic, Multiplayer, Open World, Singleplayer, Moddable, Adventure, First-Person, Atmospheric, Action, Massively Multiplayer, Difficult, VR, Co-op, Strategy, Military, Third Person, Local Multiplayer, Sandbox,",30 GB available space,0,1,0
Kingdoms and Castles, 14.99 ,7/20/2017,"Lion Shield, LLC,","Lion Shield, LLC,",95,273,91,18056,"City Builder, Colony Sim, Strategy, Medieval, Building, Simulation, Sandbox, Singleplayer, Resource Management, Base Building, Survival, Management, RTS, Action, Economy, Colorful, Great Soundtrack, Relaxing, Open World, Crafting,",1 GB available space,1,1,1
Assassin's Creed Revelations - Gold Edition, 29.99 ,3/29/2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Star Renegades, 24.99 ,9/8/2020,"Raw Fury,","Massive Damage, Inc.,",81,22,84,1475,"Roguelike, Singleplayer, Pixel Graphics, JRPG, Roguelite, Tactical RPG, Turn-Based, Mechs, RPG, Strategy RPG, Indie, Conversation, 2.5D, Procedural Generation, Turn-Based Combat, Sci-fi, Strategy, Futuristic, Retro, Tactical,",5 GB available space,0,1,0
Valve Index® Replacement Left Controller, 149 ,6/28/2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
METAL GEAR RISING: REVENGEANCE, 29.99 ,1/9/2014,"Konami Digital Entertainment,","PlatinumGames,",93,383,93,18612,"Great Soundtrack, Action, Hack and Slash, Spectacle fighter, Swordplay, Character Action Game, Third Person, Singleplayer, Ninja, Cyberpunk, Fast-Paced, Gore, Sci-fi, Difficult, Replay Value, Story Rich, Mechs, Adventure, Beat 'em up, Stealth,",25 GB available space,0,1,0
The Last Spell, 19.99 ,6/3/2021,"The Arcade Crew, Gamera Game,","Ishtar Games,",86,195,91,3703,"Early Access, Turn-Based Combat, Base Building, Replay Value, 2D, Roguelite, Pixel Graphics, Strategy RPG, Turn-Based Tactics, Tactical RPG, Dark Fantasy, Perma Death, Tower Defense, Fantasy, Turn-Based, Action, Post-apocalyptic, Turn-Based Strategy, RPG, City Builder,",2 GB available space,0,1,0
Destroy All Humans!, 9.99 ,7/28/2020,"THQ Nordic,","Black Forest Games, Pandemic Studios,",89,500,94,5840,"Action, Adventure, Villain Protagonist, Aliens, Remake, Open World, Singleplayer, Funny, Sci-fi, Cult Classic, Comedy, Gore, Third Person, Destruction, Third-Person Shooter, Dark Humor, Classic, Sandbox, Violent, Multiplayer,",19 GB available space,0,1,0
The Sims™ 4 Bundle - Seasons + Magic + Vampires, 44.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
TerraTech, 29.99 ,8/10/2018,"Payload Studios,","Payload Studios,",88,232,91,12346,"Building, Sandbox, Open World, Open World Survival Craft, Multiplayer, Robots, Crafting, Action, Survival, Adventure, Singleplayer, Exploration, Strategy, Early Access, Indie, Physics, Third Person, Shooter, Co-op, Sci-fi,",1 GB available space,1,1,1
Doctor Who: The Edge of Reality - Deluxe Edition, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Kingdom Under Fire Classics, 29.98 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Iron Harvest Deluxe Edition, 50.73 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
PIGGY: Hunt, 4.99 ,10/14/2021,"Shaggy Doge,","Shaggy Doge,",N/A,N/A,92,127,"Early Access, Adventure, Action, Survival Horror, Family Friendly, Horror, Co-op, Multiplayer, PvP, Casual, Action-Adventure, 3D, Exploration, Side Scroller, Cartoon, Colorful, Stealth, Dark Fantasy, Arcade, Third-Person Shooter,",500 MB available space,0,1,0
Call to Arms - Complete, 75.96 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
SHENZHEN I/O, 14.99 ,11/17/2016,"Zachtronics,","Zachtronics,",96,25,96,2527,"Programming, Automation, Puzzle, Logic, Simulation, Indie, Difficult, Singleplayer, Education, Sandbox, Building, Great Soundtrack,",450 MB available space,1,1,1
Street Fighter V - Champion Edition, 29.98 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
WRC 10 FIA World Rally Championship, 29.99 ,9/2/2021,"Nacon,","KT Racing,",70,77,71,322,"Racing, Sports, Driving, Automobile Sim, Physics, Management, Time Management, PvP, Competitive, eSports, 3D, First-Person, Third Person, Simulation, Open World, Colorful, Realistic, Offroad, Score Attack, Cinematic,",N/A,0,1,0
Monster Prom 2: Monster Camp, 19.99 ,10/23/2020,"Beautiful Glitch,","Beautiful Glitch,",97,42,98,2872,"Dating Sim, Indie, Multiplayer, LGBTQ+, Comedy, Online Co-Op, Casual, Multiple Endings, Funny, Visual Novel, Singleplayer, Dark Comedy, Text-Based, 2D, Romance, Fantasy, Story Rich, Sequel, Simulation, Choose Your Own Adventure,",1 GB available space,1,1,1
Assassin’s Creed® Brotherhood, 19.99 ,3/22/2011,"Ubisoft,","Ubisoft Montreal,",92,159,89,12355,"Action, Adventure, Open World, Parkour, Stealth, Assassin, Third Person, Historical, Multiplayer, Singleplayer, Rome, Story Rich, Great Soundtrack, Atmospheric, Action-Adventure, Conspiracy, Medieval, Sandbox, Controller, Casual,",N/A,0,1,0
Kindergarten 2, 14.99 ,7/30/2019,"SmashGames,","Con Man Games, SmashGames,",98,56,97,1953,"Adventure, Violent, Gore, Indie, Pixel Graphics, Funny, Comedy, Puzzle, Singleplayer, Dark Humor, 2D, Blood, Horror, RPG, Dark, Action, Psychological Horror, Story Rich, Sexual Content,",300 MB available space,1,1,1
Yakuza Remastered Collection, 59.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Emily is Away <3, 14.99 ,4/16/2021,"Kyle Seeley,","Kyle Seeley,",94,91,94,2526,"Choices Matter, Simulation, Indie, Dating Sim, Casual, Multiple Endings, Singleplayer, Story Rich, Emotional, Cute, Adventure, Visual Novel, RPG, Choose Your Own Adventure, Conversation, Nostalgia, Romance, 2D, Horror, Typing,",100 MB available space,1,1,0
Project Hospital Collection, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Night of the Dead, 24.99 ,8/28/2020,"jacktostudios,","jacktostudios,",79,104,81,4975,"Early Access, Survival, Zombies, Base Building, Open World, Female Protagonist, Tower Defense, Sandbox, PvE, Open World Survival Craft, Simulation, Hunting, Building, Multiplayer, Action, PvP, Adventure, Survival Horror, Horror, Third Person,",16 GB available space,0,1,0
"Honey, I Joined a Cult", 19.99 ,9/14/2021,"Team17,","Sole Survivor Games,",N/A,N/A,80,370,"Early Access, Illuminati, Base Building, Simulation, Strategy, Sandbox, Resource Management, Management, Faith, Comedy, Building, Political Sim, Funny, Singleplayer, Psychological, Colony Sim, Pixel Graphics, God Game, Dark Humor, 2D,",450 MB available space,0,1,0
Injustice: Gods Among Us Ultimate Edition, 19.99 ,11/12/2013,"Warner Bros. Interactive Entertainment,","NetherRealm Studios, High Voltage Software,",89,78,86,8372,"Fighting, Superhero, Action, Multiplayer, Comic Book, Local Multiplayer, Singleplayer, Controller, 2D Fighter, Beat 'em up, Arcade, 2.5D, Competitive, Story Rich, Atmospheric, 2D, 3D Vision, Great Soundtrack, Gore, Co-op,",21 GB available space,0,1,0
Voidigo, 19.99 ,2/25/2021,"semiwork,","semiwork,",99,104,99,363,"Early Access, Action Roguelike, Top-Down Shooter, Bullet Hell, Exploration, Procedural Generation, Pixel Graphics, Colorful, Hunting, Shooter, Perma Death, Cartoony, Action-Adventure, Roguelike, Difficult, Top-Down, 2D, Cute, Action, Loot,",1 GB available space,0,1,0
Mini Metro, 44.99 ,11/6/2015,"Dinosaur Polo Club,","Dinosaur Polo Club,",95,102,96,8195,"Strategy, Puzzle, Minimalist, Simulation, Indie, Trains, Singleplayer, Casual, Management, Relaxing, 2D, Transportation, Touch-Friendly, Building, Mouse only, Difficult, Great Soundtrack, Addictive, Replay Value, Top-Down,",350 MB available space,1,1,1
ADOM (Ancient Domains Of Mystery), 14.99 ,11/16/2015,"Assemble Entertainment,","Thomas Biskup, Jochen Terstiege, Zeno Rogue, Krzysztof Dycha, Lucas Dieguez,",N/A,N/A,88,934,"CRPG, Traditional Roguelike, Dungeon Crawler, Perma Death, Turn-Based, Difficult, Tabletop, Roguelike, Strategy, RPG, 2D, Procedural Generation, Pixel Graphics, Fantasy, Atmospheric, Adventure, Grid-Based Movement, Singleplayer, Indie, Replay Value,",1 GB available space,1,1,1
Dead Space™ 2, 39.99 ,1/25/2011,"Electronic Arts,","Visceral Games,",95,309,94,13960,"Horror, Survival Horror, Third-Person Shooter, Shooter, Survival, Third Person, Action, Story Rich, Sci-fi, Space, Atmospheric, Adventure, Aliens, Singleplayer, Futuristic, Combat, Multiplayer, Gore, Co-op, Blood,",N/A,0,1,0
Mutant Football League, 0 ,10/31/2017,"Digital Dreams Entertainment LLC,","Digital Dreams Entertainment LLC,",N/A,N/A,94,469,"Indie, Sports, Football, Violent, Blood, Gore, Funny, Local Multiplayer, Local Co-Op, 4 Player Local, Arcade, Old School, Remake, Multiplayer, Colorful, Controller, Family Friendly, Co-op, God Game, Early Access,",6 GB available space,0,1,0
PAYDAY 2: Ukrainian Prisoner Bundle, 59.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
The Riftbreaker - Soundtrack, 9.99 ,10/14/2021,"EXOR Studios,","EXOR Studios,",N/A,N/A,N/A,N/A,N/A,110 MB available space,0,1,0
Frostpunk: Season Pass, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Hotline Miami, 9.99 ,10/23/2012,"Devolver Digital,","Dennaton Games,",96,488,97,55373,"Great Soundtrack, Violent, Action, Indie, Top-Down, 1980s, Pixel Graphics, Fast-Paced, Gore, Psychedelic, Retro, Difficult, Singleplayer, Surreal, Shooter, 2D, Atmospheric, Addictive, Top-Down Shooter, Music,",N/A,1,1,1
HighFleet, 14.99 ,7/27/2021,"MicroProse Software,","Konstantin Koshutin,",83,254,86,2289,"Inventory Management, Singleplayer, Indie, Strategy, Action Roguelike, Sci-fi, Post-apocalyptic, Action-Adventure, Tactical, 2D, Exploration, Choices Matter, Strategy RPG, Diplomacy, Nonlinear, Action, Military, Stylized, Building, War,",2 GB available space,0,1,0
Assetto Corsa Competizione, 39.99 ,5/29/2019,"505 Games,","Kunos Simulazioni,",87,224,90,11263,"Racing, Automobile Sim, Simulation, Driving, VR, Multiplayer, Sports, Realistic, Singleplayer, Early Access, Controller, eSports, First-Person, Competitive, Atmospheric, Open World, Online Co-Op, Difficult,",50 GB available space,0,1,0
HuniePop, 9.99 ,1/19/2015,"HuniePot,","HuniePot,",94,152,96,21414,"Nudity, Mature, Sexual Content, Anime, Dating Sim, Puzzle, Match 3, Romance, Hentai, Singleplayer, Cute, Comedy, Indie, Casual, RPG, Story Rich, Strategy, Memes, Great Soundtrack, 2D,",1 GB available space,1,1,1
FINAL FANTASY XII THE ZODIAC AGE, 49.99 ,2/1/2018,"Square Enix,","Square Enix,",91,87,89,4387,"RPG, JRPG, Fantasy, Story Rich, Singleplayer, Great Soundtrack, Open World, Adventure, Exploration, Classic, Turn-Based, Action, Remake, Third Person, Female Protagonist, Anime, Atmospheric, Strategy, Real-Time with Pause, Party-Based RPG,",50 GB available space,0,1,0
Street Fighter V: Champion Edition + Season 5 Premium Pass Bundle, 58.07 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Stronghold Crusader 2, 59.99 ,9/22/2014,"FireFly Studios,","FireFly Studios,",68,112,70,7903,"Strategy, Medieval, City Builder, RTS, Multiplayer, Simulation, Historical, Classic, Co-op, Singleplayer, Building, Resource Management, Atmospheric, Sandbox, Action, Tactical, Open World, Adventure, Survival, Indie,",4 GB available space,0,1,0
Insurgency: Sandstorm - Deluxe Edition, 39.99 ,9/28/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Half-Life Complete, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Bendy and the Ink Machine, 39.99 ,2/10/2017,"Joey Drew Studios,","Joey Drew Studios,",93,165,89,7454,"Horror, First-Person, Singleplayer, Puzzle, Cartoony, Survival Horror, Cartoon, Dark, Mystery, Story Rich, Indie, Action, Great Soundtrack, Atmospheric, Adventure, Psychological Horror, Free to Play, Violent, Funny, Cute,",2 GB available space,1,1,1
UGCW Loyalty Bonus, 53.98 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Job Simulator, 24.99 ,4/5/2016,"Owlchemy Labs,","Owlchemy Labs,",84,38,90,2337,"VR, Simulation, Funny, First-Person, Singleplayer, Comedy, Robots, Physics, Memes, Family Friendly, Sandbox, Casual, Sci-fi, Atmospheric, Realistic, Action, Indie, Psychological Horror, Multiplayer, Illuminati,",1 GB available space,0,1,0
Freeways, 3.99 ,10/1/2017,"Captain Games,","Captain Games,",80,118,81,422,"Simulation, Indie, Puzzle,",30 MB available space,1,1,0
Death Road to Canada, 14.99 ,7/22/2016,"Rocketcat Games,","Rocketcat Games, Madgarden,",87,55,93,4901,"Pixel Graphics, Action Roguelike, Zombies, Local Co-Op, Action, Roguelike, Survival, Indie, Character Customization, RPG, Great Soundtrack, Comedy, Multiplayer, Replay Value, Funny, Difficult, Roguelite, 2D, Co-op, Memes,",60 MB available space,1,1,1
Battle Brothers & All DLC, 19.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"Flashing Lights - Police, Firefighting, Emergency Services Simulator", 19.99 ,6/7/2018,"Excalibur Games,","Nils Jakrins,",91,139,84,8835,"Automobile Sim, Simulation, Multiplayer, Open World, Crime, Early Access, Online Co-Op, Action, Co-op, Third Person, Shooter, Tactical, Team-Based, Realistic, RPG, Third-Person Shooter, Singleplayer, Indie, Driving, Moddable,",4 GB available space,1,1,0
Doctor Who: The Edge of Reality, 59.99 ,10/13/2021,"Maze Theory Ltd, Another Indie, Neon Doctrine,","Maze Theory Ltd, Just Add Water (Developments), Ltd.,",N/A,N/A,57,91,"Action-Adventure, Exploration, Story Rich, Puzzle, Mystery, First-Person, Space, Action, Sci-fi, Adventure, Time Travel, FPS, Horror, Stealth, Atmospheric, Futuristic, Singleplayer, Indie,",N/A,0,1,0
The Medium, 154.95 ,1/1/2021,"Bloober Team SA , NA PUBLISHING INC.,","Bloober Team,",91,95,88,4282,"Adventure, Horror, Female Protagonist, Atmospheric, Psychological Horror, Third Person, Sexual Content, Story Rich, Dark, Mature, Singleplayer, Great Soundtrack, Violent, Psychological, Gore, Walking Simulator, Action, Indie, Soundtrack, Puzzle,",55 GB available space,0,1,0
FOR HONOR™, 39.99 ,2/14/2017,"Ubisoft,","Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte,",76,951,65,60968,"Medieval, Action, Swordplay, Multiplayer, PvP, Fighting, Third Person, War, Co-op, Gore, Singleplayer, Online Co-Op, Hack and Slash, Realistic, Strategy, Atmospheric, RPG, Fantasy, MOBA, Story Rich,",40 GB available space,0,1,0
Battle Brothers, 19.99 ,3/24/2017,"Overhype Studios,","Overhype Studios,",87,119,88,13371,"Tactical RPG, Turn-Based Combat, Strategy, Medieval, RPG, Turn-Based Strategy, Open World, Sandbox, Replay Value, Roguelite, Procedural Generation, Turn-Based, Tactical, Difficult, Perma Death, Turn-Based Tactics, Fantasy, Character Customization, 2D, CRPG,",1500 MB available space,0,1,0
Derail Valley, 29.99 ,1/25/2019,"Altfuture,","Altfuture,",94,53,93,1978,"Early Access, Simulation, Trains, VR, Realistic, Driving, Transportation, Open World, First-Person, Immersive Sim, Physics, Economy, Resource Management, Procedural Generation, Replay Value, Adventure, Sandbox, Singleplayer, Relaxing, Atmospheric,",12 GB available space,0,1,0
EXAPUNKS, 19.99 ,10/22/2018,"Zachtronics,","Zachtronics,",N/A,N/A,96,912,"Programming, Puzzle, Hacking, Indie, Automation, Simulation, Logic, Cyberpunk, Singleplayer, Great Soundtrack, Difficult, Sandbox,",660 MB available space,1,1,1
RPG Maker MV, 9.99 ,10/23/2015,"Degica,","Gotcha Gotcha Games, KADOKAWA, Yoji Ojima,",93,81,92,4574,"RPGMaker, Game Development, RPG, Anime, GameMaker, Design & Illustration, Web Publishing, JRPG, 2D, Software, Singleplayer, Sexual Content, Multiplayer, Action RPG, Nudity,",1 GB available space,1,1,1
RollerCoaster Tycoon® Classic, 19.99 ,9/28/2017,"Atari,","Origin8 Technologies Ltd.,",87,16,87,1029,"Simulation, Strategy, Management, Classic, Retro, Sandbox, Singleplayer, Isometric, Pixel Graphics,",360 MB available space,1,1,0
Bot Wars, 19.99 ,9/10/2021,"Big Play Games,","Frompy Games,",N/A,N/A,94,280,"Early Access, Action, Strategy, Casual, 1980s, Sandbox, Shooter, FPS, Real Time Tactics, Third-Person Shooter, Robots, Wargame, Colorful, Third Person, Capitalism, Sci-fi, Comedy, Futuristic, Dystopian , Parody ,",2 GB available space,0,1,0
Yu-Gi-Oh! Legacy of the Duelist : Link Evolution, 19.99 ,3/24/2020,"Konami Digital Entertainment, Inc.,","Other Ocean Emeryville,",75,83,80,2019,"Simulation, Trading Card Game, Anime, Multiplayer, Card Game, Card Battler, Strategy, Singleplayer, Deckbuilding, Puzzle,",2 GB available space,0,1,0
Plants vs. Zombies GOTY Edition, 29.99 ,5/5/2009,"PopCap Games, Inc., Electronic Arts,","PopCap Games, Inc.,",97,1436,96,57162,"Tower Defense, Zombies, Strategy, Singleplayer, Casual, Comedy, 2D, Family Friendly, Classic, Great Soundtrack, Funny, Puzzle, Cute, Indie, Addictive, Survival, Tactical, Touch-Friendly, Adventure, Post-apocalyptic,",N/A,1,1,0
Dungeonmans, 4.99 ,12/9/2014,"Adventurepro Games LLC,","Adventurepro Games LLC,",91,12,90,729,"Traditional Roguelike, Roguelike, Grid-Based Movement, RPG, Indie, Turn-Based, Strategy, Adventure, Loot, Dungeon Crawler, Singleplayer, 2D,",500 MB available space,0,1,0
Company of Heroes 2, 19.99 ,6/25/2013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
QUAKE, 19.99 ,6/22/1996,"Bethesda Softworks,","id Software, Nightdive Studios,",96,368,95,7198,"FPS, Classic, Action, Shooter, 1990's, Singleplayer, Multiplayer, Lovecraftian, Gore, First-Person, Old School, Horror, Retro, Great Soundtrack, Moddable, Fast-Paced, Atmospheric, Sci-fi, Competitive, Co-op,",N/A,0,1,0
Aseprite, 34.99 ,2/22/2016,"Igara Studio,","David Capello,",10,208,99,6403,"Pixel Graphics, Design & Illustration, Animation & Modeling, Game Development, Software,",40 MB available space,1,1,1
Metro: Last Light Redux, 69.99 ,8/26/2014,"Deep Silver,","4A Games,",96,604,88,41721,"Post-apocalyptic, FPS, Atmospheric, Action, Story Rich, Horror, Singleplayer, First-Person, Shooter, Stealth, Survival, Based On A Novel, Adventure, Survival Horror, Remake, Nudity, Sci-fi, Difficult, Multiplayer, Open World,",10 GB available space,1,1,1
Danganronpa 1/2/V3, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Creeper World 4, 0 ,12/3/2020,"Knuckle Cracker,","Knuckle Cracker,",86,38,95,2173,"Wargame, Real Time Tactics, Tower Defense, Building, Space, War, 3D, RTS, Physics, Strategy, Grand Strategy, Top-Down, Story Rich, Action, Simulation, Sci-fi, Tactical, Level Editor, Multiplayer, Singleplayer,",2 GB available space,0,1,0
FINAL FANTASY IX, 20.99 ,4/14/2016,"Square Enix,","Square Enix,",96,114,93,6575,"JRPG, Story Rich, Great Soundtrack, Fantasy, Classic, RPG, Turn-Based Combat, Singleplayer, Adventure, Atmospheric, Turn-Based, Open World, Party-Based RPG, Funny, Cult Classic, Steampunk, Medieval, Exploration, Anime, Action,",7 GB available space,0,1,0
