Name,Price,Release Date,Publisher,Developer,Percent Positive Reviews (30 days),Total Number Reviews (30 days),PerPosRevAT,Total Number Reviews (All Time),Genere(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
No Code Developer, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
The Alliance Alive HD Remastered, 39.99 ,1/16/2020,"NIS America, Inc.,","FURYU Corporation,",N/A,N/A,85,99,"RPG, Anime, JRPG, Turn-Based Combat, Fantasy,",5 GB available space,0,1,0
I Expect You To Die VR Puzzler Bundle, 19.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
DYA Games Collection, 14.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Skeletal Avenger, 19.99 ,9/29/2021,"10tons Ltd,","10tons Ltd,",95,23,93,59,"Exploration, Action Roguelike, Hack and Slash, Mystery Dungeon, Roguelite, Dungeon Crawler, Perma Death, 3D Fighter, RPG, Roguelike, Character Customization, Character Action Game, 3D, Top-Down, Dark Humor, Funny, Horror, Underground, Controller, Procedural Generation,",500 MB available space,0,1,0
Oneiros, 33.95 ,3/27/2020,"Coal Valley Games,","Coal Valley Games,",N/A,N/A,87,106,"Adventure, Puzzle, Surreal, Escape Room, Point & Click, Psychedelic, Hidden Object, Narration, Exploration, Casual, Experience, Indie, Comedy, Story Rich, First-Person, Action, Atmospheric, Singleplayer, Realistic, Mystery,",3300 MB available space,0,1,0
The Legend of Heroes: Trails of Cold Steel III - Premium Cosmetic Set, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Alfred Hitchcock - Vertigo, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Pickup Basketball VR, 59.99 ,2/26/2021,"Ron Revog,","Revog Games,",N/A,N/A,86,36,"Sports, VR, Multiplayer, Singleplayer, Basketball, Simulation, Arcade, eSports, Immersive Sim, Character Customization, PvP, Early Access,",900 MB available space,0,1,0
Ys IX: Monstrum Nox Digital Deluxe Edition, 74.77 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Zup-Zup!, 14.24 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
