Name,Price,Release Date,Publisher,Developer,% Positive Reviews (30 days),Total Number Reviews (30 days),%PosAT,TotalReviewsAT,Genre(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Gas Station Simulator,$36.98,"Sep 15, 2021","Movie Games S.A., HeartBeat Games, ","DRAGO entertainment, ",N/A,N/A,84,"5,788 ","Simulation, Indie, Building, Economy, Base Building, Realistic, Singleplayer, Open World, Crafting, First-Person, Relaxing, Casual, Multiplayer, Design & Illustration, Funny, Family Friendly, Destruction, Choices Matter, Memes, Education, ", 10 GB available space,0,1,0
Battlefield™ 2042,$49.99,"Nov 19, 2021","Electronic Arts, ","DICE, ",N/A,N/A,N/A,N/,"Shooter, Action, Multiplayer, First-Person, Military, War, FPS, Team-Based, Futuristic, PvP, Vehicular Combat, Combat, Modern, Destruction, Physics, Cinematic, Adventure, Casual, Hero Shooter, Action RPG, ", 100 GB available space,0,1,0
Batman: Arkham Collection,$59.99," Nov 28, 2018",,,N/A,N/A,N/A,N/,N/A,N/A,0,0,0
Cyberpunk 2077,$19.99,"Dec 9, 2020","CD PROJEKT RED, ","CD PROJEKT RED, ",73,"3,287 Recent
",76,"385,124 ","Cyberpunk, Open World, RPG, Sci-fi, Futuristic, Singleplayer, FPS, Nudity, First-Person, Atmospheric, Exploration, Story Rich, Mature, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim, ", 70 GB available space,0,1,0
DEATHLOOP,$59.99,"Sep 14, 2021","Bethesda Softworks, ","Arkane Studios, ",N/A,N/A,76,"8,379 ","FPS, Action, First-Person, Shooter, Stealth, Immersive Sim, Assassin, Roguelite, Multiplayer, Adventure, Singleplayer, Time Manipulation, Story Rich, Tactical, PvP, Violent, Sexual Content, Gore, Parkour, Action-Adventure, ", 30 GB available space,0,1,0
RAILROADS Online!,$34.99,"Oct 1, 2021","Stefan Kelnberger, ","Stefan Kelnberger, ",N/A,N/A,76,255 ,"Early Access, Trains, Multiplayer, Automobile Sim, Online Co-Op, Physics, Open World, Immersive Sim, Building, Team-Based, Driving, Sandbox, Singleplayer, Exploration, Management, Economy, First-Person, Family Friendly, Nature, Colony Sim, ", 6000 MB available space,0,1,0
RimWorld,$29.99,"Oct 17, 2018","Ludeon Studios, ","Ludeon Studios, ",98,"1,748 Recent
",98,"96,041 ","Colony Sim, Base Building, Survival, Strategy, Management, Sandbox, Building, Simulation, City Builder, Singleplayer, Procedural Generation, Moddable, Open World, 2D, Sci-fi, Indie, Tactical RPG, Western, Space, Cartoony, ", 1 GB available space,1,1,1
Teardown,$39.99,"Oct 29, 2020","Tuxedo Labs, ","Tuxedo Labs, ",95,"1,352 Recent
",95,"23,623 ","Destruction, Physics, Sandbox, Voxel, First-Person, Singleplayer, Heist, Realistic, Simulation, Strategy, Open World, Action, Puzzle, Tactical, Indie, Driving, Early Access, Epic, Replay Value, Multiplayer, ", 2 GB available space,0,1,0
Tabletop Simulator,$14.99,"Jun 5, 2015","Berserk Games, ","Berserk Games, ",97,"365 Recent
",96,"28,640 ","Tabletop, Board Game, Simulation, Multiplayer, Sandbox, Card Game, Trading Card Game, Physics, Wargame, Casual, VR, Strategy, 3D, Moddable, Online Co-Op, Co-op, Funny, RPG, First-Person, Indie, ", 3 GB available space,1,1,1
MONSTER HUNTER RISE,$59.99,"Jan 12, 2022","CAPCOM Co., Ltd., ","CAPCOM Co., Ltd., ",N/A,N/A,N/A,N/,"Action, Hunting, Co-op, Multiplayer, Third Person, Dragons, 3D, Ninja, Nature, PvE, Character Customization, Singleplayer, Investigation, Atmospheric, Conversation, Story Rich, Anime, RPG, Fantasy, Souls-like, ", 23 GB available space,0,1,0
