Name,Price,Release Date,Publisher,Developer,PerPosRev30,TNR30,PerPosRevAT,TNRAT,Genre,Storage,Mac,Windows,SteamLinux,MacWindow,MacSteam,WindowSteam,All,AvgNRAT,AvgNR30,AvgPrice
Midnight Bike,0.99,9/17/2020,"Beep Beep,","Vroom Vroom,",0,0,94,18,Casual,1,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
Kick The Puppet,0.99,12/7/2018,"RewindApp,","RewindApp,",0,0,64,14,Casual,0.12,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
[TDAN/AN/A] Muv-Luv Unlimited: THE DAY AFTER - Episode N/AN/A REMASTERED,59.99,1/29/2021,"aNCHOR Inc.,","aNCHOR Inc., fuzz, Inc.,",0,0,72,48,Adventure,1,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
PixGirls,0.99,10/16/2021,"sixteen bars,","sixteen bars,",0,0,0,0,Casual,100,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
KUUKIYOMI 2: Consider It More! - New Era,4.99,9/29/2020,"G-MODE,","G-MODE,",0,0,86,51,Casual,0.5,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
Aquanox Deep Descent,9.99,10/16/2020,"THQ Nordic,","Digital Arrow,",0,0,48,322,Flight,30,0,1,0,0,0,0,0,5897.9,70.6,24.09
Earth 215N/A Trilogy,6.99,5/20/2000,"Topware Interactive, ACE,","Reality Pump Studios,",0,0,74,350,Strategy,2,1,1,1,1,1,1,1,4109.025381,81.53553299,41.05142132
Magical Diary: Wolf Hall,154.89,2/17/2020,"Hanako Games,","Hanako Games,",0,0,94,117,RPG,0.2,0,1,1,0,0,1,0,4388.014535,70.58139535,41.3109593
Skeleton Wave,0.99,5/4/2021,"FunnyKids,","FunnyKids,",0,0,0,0,Adventure,0.5,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
Headliner: NoviNews,13.99,10/23/2018,"Unbound Creations,","Unbound Creations,",0,0,90,538,Political,0.6,1,1,0,1,0,0,0,2596.888889,33.11111111,17.10111111
Doctor Who: The Edge Of Time,19.99,11/12/2019,"Playstack,","Maze Theory,",0,0,64,152,Adventure,5,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
Switch 'N' Shoot,3.99,10/17/2016,"Matt Glanville,","Matt Glanville,",0,0,97,82,Shoot,99,1,1,1,1,1,1,1,520.3333333,3.444444444,43.97444444
MAN STANDING,59.99,12/11/2019,"ALFINA WORLD GAME PUBLISHING,","ALFINA GAMERS, rocketship,",0,0,84,295,Adventure,1,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
London Detective Mysteria,29.99,7/31/2019,"XSEED Games, Marvelous USA, Inc.,","Karin Entertainment,",0,0,88,79,Adventure,4,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
MiniTracks,4.99,11/13/2020,"MageC Studio,","MageC Studio,",0,0,84,26,Racing,6,0,1,0,0,0,0,0,4392.66055,184.4678899,30.58091743
Blood Code,9.99,12/29/2015,"ZiX Solutions,","ZiX Solutions, Weixi Studio,",0,0,72,1701,Visual,0.7,1,1,1,1,1,1,1,1387.811321,32.50943396,30.06169811
B.ARK,9.99,7/29/2021,"Tic Toc Games,","Tic Toc Games,",0,0,10,13,Action,2,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Classic Sudoku,59.99,11/25/2019,"Studio Goya,","Studio Goya,",0,0,92,277,Casual,70,1,1,0,1,0,0,0,591.1660777,19.47349823,25.58780919
Angels Cove,39.99,10/8/2021,"CG Cowboy Studios,","CG Cowboy Studios,",0,0,10,12,Exploration,8,0,1,0,0,0,0,0,2061.117647,94.35294118,22.31352941
Bad Dream: Coma,8.99,3/9/2017,"Games Box, Ultimate Games S.A.,","Desert Fox,",96,30,91,1377,Point,0.5,1,1,0,1,0,0,0,1756.545455,16.45454545,41.87
Police Tactics: Imperio,59.99,9/7/2016,"astragon Entertainment,","CyberphobX Ltd.,",0,0,57,278,Strategy,3,1,1,0,1,0,0,0,4109.025381,81.53553299,41.05142132
Anew: The Distant Light,29.99,8/9/2021,"Resonator,","Resonator,",0,0,46,13,Early,2,0,1,0,0,0,0,0,2148.634615,61.64423077,23.27759615
The Language of Love,11.99,5/28/2019,"ebi-hime,","ebi-hime,",0,0,95,83,Indie,0.45,1,1,1,1,1,1,1,802.9269841,12.4984127,25.0667619
東方憑依華　～ Antinomy of Common Flowers.,29.99,1/5/2018,"SUNFISH Co., Ltd.,","黄昏フロンティア,",0,0,90,1601,Great,1,0,1,0,0,0,0,0,21625.84211,362.1578947,22.14789474
Charlie | The Legend,39.99,10/1/2021,"Fireblitz Games,","Fireblitz Games,",0,0,41,43,Indie,15,0,1,0,0,0,0,0,802.9269841,12.4984127,25.0667619
Age of Fear: The Undead King GOLD,19.99,6/11/2019,"Age of Fear,","Leslaw Sliwko,",0,0,98,56,Tactical,5,1,1,1,1,1,1,1,10045.66667,205.7777778,23.43166667
Formula Car Racing Simulator,0.99,1/22/2020,"Enaayah Software Development and Services Private Limited,","Enaayah Software Development and Services Private Limited,",0,0,83,24,Racing,0.5,1,1,1,1,1,1,1,4392.66055,184.4678899,30.58091743
Hade,44.99,12/2/2016,"KirUn,","KirUn,",0,0,90,210,Indie,100,0,1,0,0,0,0,0,802.9269841,12.4984127,25.0667619
Baldo: The Guardian Owls,14.99,8/27/2021,"Naps Team,","Naps Team,",0,0,59,111,Action,2,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
ECHO,59.99,9/19/2017,"ULTRA ULTRA,","ULTRA ULTRA,",0,0,80,1209,Stealth,10,0,1,0,0,0,0,0,9300.37037,124.7407407,39.62
Silver Chains,14.99,8/6/2019,"Headup,","Cracked Heads Games,",80,10,75,274,Horror,15,0,1,0,0,0,0,0,9720.064,250.024,25.10824
The Myth Seekers 2: The Sunken City,29.99,6/13/2019,"Artifex Mundi,","Sunward Games,",0,0,72,33,Adventure,2,1,1,1,1,1,1,1,1660.002024,30.6437247,53.61291498
